,GPU MODEL,VRAM,H/s,APP,OS,TDP,DATE,GPU MODEL SPLIT
248,"SAPPHIRE RX 480 8GB NITRO+ X 2 (CORE 1350MHZ, MEM 2150MHZ)",8 GB DDR5,1385,XMR-STAK-AMD,WINDOWS 10 x64,150 W,"May, 2017.","['SAPPHIRE RX 480 8GB NITRO+ X 2 (CORE 1350MHZ, MEM 2150MHZ)']"
249,2X SAPPHIRE RADEON RX 570 4GB NITRO+,4 GB DDR3,1366,AMD XMR MINER V0.58B. BIOS MOD,WINDOWS 10 x64,170 W,"Oct, 2017.",['2X SAPPHIRE RADEON RX 570 4GB NITRO+']
250,MSI RX 580 ARMOR OC 4G X 3 + SAPPHIRE RX470 4G ME,16 GB DDR5,1350,WOLF 0.4,WINDOWS 10 x64,288 W,"Sep, 2017.","['MSI RX 580 ARMOR OC 4G X 3', 'SAPPHIRE RX470 4G ME']"
251,3X SLI NVIDIA GTX 980,4 GB DDR5,1337,XMR-STAK-NVIDIA,WINDOWS 10 x64,N/A,"Sep, 2017.",['3X SLI NVIDIA GTX 980']
252,"2X RX570 NITRO+, 1200/2100+1200/2000 MODDED BIOS, 1750 STRAP",8 GB DDR5,1315,XMR-STAK-AMD,WINDOWS 7 x64,202 W,"Jul, 2017.","['2X RX570 NITRO+, 1200/2100+1200/2000 MODDED BIOS, 1750 STRAP']"
253,"RX VEGA 64 - SINGLE CARD STOCK CORE, 1110 MHZ MEM, 2016 INTENSITY",8 GB HBM2 MEMORY,1293,XMR-STAK-AMD,WINDOWS 10 x64,290 W,"Aug, 2017.","['RX VEGA 64 - SINGLE CARD STOCK CORE, 1110 MHZ MEM, 2016 INTENSITY']"
254,AMD VEGA 64 GPU:1702 MEM:1100,8 GB HBM2 MEMORY,1270,XMR-STAK-AMD,WINDOWS 10 x64,241 W,"Aug, 2017.",['AMD VEGA 64 GPU:1702 MEM:1100']
255,2X SAPPHIRE RX 580 NITRO+,4 GB DDR5,1270,"CLAYMORE 10.2 BETA WITH: 2050MEM/1100GPU, -CVDDC 850 AND -MVDDC 850",WINDOWS 10 x64,150 W,"Nov, 2017.",['2X SAPPHIRE RX 580 NITRO+']
256,POWERCOLOR RED DRAGON RADEON RX 480X2,4 GB DDR5,1266,CLAYMORE CRYPTONOTE GPU MINER V9.7 BETA,WINDOWS 10 x64,N/A,"Apr, 2017.",['POWERCOLOR RED DRAGON RADEON RX 480X2']
257,"4X SAPPHIRE PULSE RADEON RX 550 [OC IN WATTMAN: GPU: 1374 MHZ (+14%), VOLTAGE: 10",4 GB DDR5,1251,"XMR-STAK-AMD-NOTLS (""INTENSITY"" : 1024, ""WORKSIZE"" : 16)",WINDOWS 10 x64,N/A,"Aug, 2017.","['4X SAPPHIRE PULSE RADEON RX 550 [OC IN WATTMAN: GPU: 1374 MHZ (+14%), VOLTAGE: 10']"
258,"2X GPU GIGABYTE RADEON RX 480 G1 GAMING 8G (1300-1340 MHZ / 2250 MHZ,)",8 GB DDR5,1235,CLAYMORE AMD GPU MINER 9.6,WINDOWS 10 x64,220 W,"Jan, 2017.","['2X GPU GIGABYTE RADEON RX 480 G1 GAMING 8G (1300-1340 MHZ', '2250 MHZ,)']"
259,MSI GAMING X  RX 580,8 GB DDR5,1229,CLAYMORE XMR GPU (-H 2048),WINDOWS 10 x64,190 W,"Nov, 2017.",['MSI GAMING X  RX 580']
260,4X POWERCOLOR RX 560 2GB (305HS EACH),2 GB DDR5,1222,SGMINER-GM-XMR (stock tune with 270w at the wall),ETHOS 1.2.0,270 W,"Aug, 2017.",['4X POWERCOLOR RX 560 2GB (305HS EACH)']
261,UNDERVOLTED REFERENCE RX VEGA 64 (DRIVER 17.12.2),8 GB HBM2 MEMORY,1200,CAST-XMR,WINDOWS 10 x64,245 W,"Dec, 2017.",['UNDERVOLTED REFERENCE RX VEGA 64 (DRIVER 17.12.2)']
262,HD 7990,6 GB DDR5,1198,CLAYMORE 10.2,WINDOWS 10 x64,350 W,"Nov, 2017.",['HD 7990']
263,4X NVIDIA GTX 970,4 GB DDR5,1150,CCMINER,WINDOWS 10 x64,600 W,"Nov, 2017.",['4X NVIDIA GTX 970']
264,RADEON HD 7990,6 GB DDR5,1143,CLAYMORE 9.5,WINDOWS 8 x64,375 W,"Sep, 2016.",['RADEON HD 7990']
265,XFX 7990,6 GB DDR5,1140,CLAYMORE CRYPTONIGHT 9.7,WINDOWS 10 x64,N/A,"Dec, 2017.",['XFX 7990']
266,GIGABYTE RX VEGA 64 (1628MHZ/1100MHZ @ 1100/1050MV),8 GB HBM2 MEMORY,1128,XMR-STAK-AMD,WINDOWS 10 x64,N/A,"Sep, 2017.",['GIGABYTE RX VEGA 64 (1628MHZ/1100MHZ @ 1100/1050MV)']
267,HD 7990,6 GB DDR5,1124,CLAYMORE CRYPTONOTE GPU MINER,WINDOWS 10 x64,350 W,"Sep, 2017.",['HD 7990']
268,RX VEGA 64,8 GB HBM2 MEMORY,1121,CLAYMOREAMD,WINDOWS 10 x64,295 W,"Dec, 2017.",['RX VEGA 64']
269,GIGABYTE AMD RADEON HD 7990,6 GB DDR5,1120,CLAYMORE 9.7,WINDOWS 10 x64,275 W,"Aug, 2017.",['GIGABYTE AMD RADEON HD 7990']
